"","Gender","SeniorCitizen","Partner","Dependents","Tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","sample"
"5256","Female","No","No","No",31,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.05,2227.8,"No",FALSE
"5257","Male","No","Yes","Yes",52,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",96.25,4990.25,"Yes",TRUE
"5258","Male","Yes","No","No",37,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.1,3744.05,"Yes",FALSE
"5259","Male","No","No","No",69,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.7,7220.35,"Yes",TRUE
"5260","Male","Yes","Yes","No",30,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",77.9,2351.45,"No",TRUE
"5261","Female","No","No","No",33,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",90.65,2989.6,"No",TRUE
"5262","Male","Yes","Yes","No",54,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",110.45,6077.75,"No",TRUE
"5263","Female","No","No","No",59,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","One year","No","Bank transfer (automatic)",68.7,4070.95,"No",TRUE
"5264","Male","Yes","No","No",55,"No","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",44.85,2479.05,"No",FALSE
"5265","Male","Yes","Yes","No",69,"No","No","DSL","No","No","Yes","No","No","No","One year","Yes","Credit card (automatic)",29.8,2134.3,"No",FALSE
"5266","Female","No","No","No",66,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",88.9,6000.1,"No",TRUE
"5267","Male","No","Yes","Yes",37,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Mailed check",58.75,2203.1,"No",FALSE
"5269","Male","No","Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.9,6194.1,"No",FALSE
"5270","Male","No","No","No",10,"Yes","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Mailed check",59.65,638.95,"No",TRUE
"5271","Male","No","No","Yes",40,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",55.25,2139.2,"Yes",TRUE
"5272","Male","No","No","Yes",13,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",66.4,831.75,"No",TRUE
"5273","Female","No","No","No",6,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.1,521.3,"Yes",TRUE
"5275","Female","Yes","Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",108.1,7181.95,"No",TRUE
"5276","Male","No","No","No",11,"Yes","Yes","DSL","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",53.75,608,"Yes",TRUE
"5277","Male","No","Yes","Yes",46,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Mailed check",56.9,2560.1,"No",FALSE
"5278","Female","No","No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",89.3,577.6,"Yes",TRUE
"5279","Female","No","Yes","Yes",56,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",109.6,5953,"No",TRUE
"5281","Female","No","Yes","Yes",33,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",79.15,2531.4,"No",TRUE
"5282","Female","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Credit card (automatic)",66.75,4760.3,"No",TRUE
"5283","Female","No","Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.2,292.85,"Yes",TRUE
"5284","Female","No","No","Yes",19,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",48.8,953.65,"No",FALSE
"5285","Female","Yes","No","No",5,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",45.7,198,"Yes",TRUE
"5286","Female","No","Yes","No",71,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",80.7,5705.05,"No",TRUE
"5287","Male","No","Yes","No",8,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,609.9,"Yes",TRUE
"5289","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.65,79.65,"Yes",FALSE
"5290","Female","No","No","No",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",115.1,6993.65,"No",TRUE
"5291","Female","No","Yes","Yes",71,"No","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",59.7,4122.65,"No",TRUE
"5292","Female","No","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Credit card (automatic)",86.45,5762.95,"No",FALSE
"5293","Male","No","No","No",46,"No","No","DSL","No","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",33.7,1537.85,"No",FALSE
"5294","Male","No","No","No",33,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","One year","No","Bank transfer (automatic)",80.1,2603.3,"No",TRUE
"5295","Female","No","Yes","Yes",53,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",104.05,5566.4,"No",TRUE
"5296","Female","Yes","Yes","No",50,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",108.75,5431.9,"No",TRUE
"5297","Female","No","No","No",57,"No","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",41.1,2258.25,"No",FALSE
"5299","Female","Yes","Yes","No",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.9,6401.25,"No",FALSE
"5300","Female","Yes","Yes","No",28,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",101.3,2812.2,"Yes",TRUE
"5301","Female","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",80.05,80.05,"Yes",TRUE
"5302","Male","No","Yes","Yes",29,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",89.2,2698.35,"Yes",TRUE
"5303","Female","No","Yes","Yes",10,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",65.5,616.9,"No",TRUE
"5304","Male","No","No","Yes",43,"No","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",40.45,1912.85,"No",FALSE
"5305","Male","Yes","Yes","No",13,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",70.45,849.1,"No",FALSE
"5306","Female","No","Yes","No",43,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",78.8,3460.3,"No",TRUE
"5307","Male","No","Yes","Yes",19,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",83.65,1465.75,"Yes",TRUE
"5308","Male","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.1,90.1,"No",TRUE
"5309","Female","No","No","No",69,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",82.45,5555.3,"No",FALSE
"5311","Male","No","Yes","No",43,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",66.25,2907.35,"No",TRUE
"5313","Male","No","No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",51.25,51.25,"Yes",TRUE
"5314","Male","No","Yes","No",56,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",89.7,4952.95,"No",FALSE
"5315","Female","No","Yes","No",70,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",64.55,4504.9,"No",TRUE
"5316","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.6,45.6,"Yes",FALSE
"5317","Male","No","Yes","Yes",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",93.65,4520.15,"No",TRUE
"5318","Female","No","No","No",6,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.65,267.35,"Yes",FALSE
"5319","Female","No","Yes","Yes",32,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Mailed check",73.6,2316.85,"No",TRUE
"5320","Female","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",109.75,8075.35,"No",FALSE
"5321","Male","No","No","Yes",37,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Credit card (automatic)",61.45,2302.35,"No",FALSE
"5322","Female","No","Yes","No",69,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",106.4,7251.9,"No",FALSE
"5323","Female","No","Yes","No",26,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",81.9,2078.55,"No",TRUE
"5324","Female","No","Yes","Yes",58,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",105.2,6225.4,"No",FALSE
"5325","Male","No","No","No",24,"Yes","Yes","DSL","No","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.6,1242.25,"No",TRUE
"5329","Female","No","Yes","No",55,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.05,3462.1,"No",FALSE
"5330","Female","No","Yes","No",25,"No","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",34,853,"Yes",TRUE
"5331","Male","Yes","Yes","No",10,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Mailed check",92.5,934.1,"Yes",FALSE
"5332","Male","No","Yes","Yes",44,"No","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",54.05,2375.2,"No",TRUE
"5333","Female","No","No","No",47,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Mailed check",58.9,2813.05,"No",FALSE
"5334","Female","No","Yes","Yes",13,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",88.35,1222.8,"Yes",TRUE
"5335","Female","No","Yes","Yes",49,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",107.95,5293.2,"Yes",TRUE
"5336","Female","No","Yes","No",64,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","One year","Yes","Mailed check",96.9,6314.35,"No",TRUE
"5338","Male","No","No","No",20,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50,1003.05,"No",FALSE
"5339","Female","No","Yes","No",37,"No","No","DSL","Yes","No","No","Yes","Yes","No","Two year","No","Electronic check",45.4,1593.1,"No",TRUE
"5340","Male","No","Yes","Yes",30,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",85.45,2509.95,"No",TRUE
"5341","Female","No","No","No",38,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",84.1,3187.65,"No",FALSE
"5342","Female","Yes","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,74.45,"Yes",TRUE
"5343","Female","No","No","No",37,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",64.75,2345.2,"Yes",TRUE
"5344","Female","No","Yes","No",52,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",66.25,3330.1,"No",FALSE
"5345","Male","No","No","Yes",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",76.9,5522.7,"No",TRUE
"5346","Male","No","No","No",26,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","No","Electronic check",89.8,2335.3,"Yes",TRUE
"5347","Male","No","No","No",66,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",74.6,4798.4,"No",FALSE
"5348","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",116.95,8594.4,"No",TRUE
"5349","Male","No","No","Yes",25,"No","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Credit card (automatic)",40.65,970.55,"No",TRUE
"5350","Male","No","Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.35,7665.8,"No",TRUE
"5351","Male","No","Yes","Yes",53,"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","Two year","No","Bank transfer (automatic)",69.7,3686.05,"No",FALSE
"5352","Female","No","No","No",12,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Mailed check",95.5,1115.15,"Yes",TRUE
"5353","Male","No","No","No",26,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",98.65,2537,"No",TRUE
"5354","Male","No","No","No",21,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Mailed check",61.65,1393.6,"No",TRUE
"5355","Female","No","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.35,89.35,"No",TRUE
"5356","Male","No","No","No",48,"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",95.4,4445.3,"No",FALSE
"5357","Female","No","Yes","No",26,"No","No","DSL","Yes","No","Yes","No","No","No","One year","No","Credit card (automatic)",35.4,978.6,"No",TRUE
"5360","Female","Yes","No","No",10,"No","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",29.65,291.4,"Yes",TRUE
"5361","Male","No","Yes","Yes",5,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",84.5,453.75,"Yes",FALSE
"5365","Male","No","No","No",18,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.7,1597.25,"Yes",TRUE
"5367","Female","No","Yes","Yes",66,"Yes","No","DSL","Yes","No","No","No","Yes","No","Two year","Yes","Electronic check",59.75,3996.8,"No",TRUE
"5368","Female","No","Yes","Yes",65,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",82.5,5215.1,"No",TRUE
"5369","Female","Yes","No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.3,235.5,"Yes",TRUE
"5371","Male","No","Yes","Yes",16,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.8,1442.2,"No",TRUE
"5372","Female","No","No","No",54,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",103.95,5639.05,"Yes",TRUE
"5373","Female","Yes","No","No",50,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.95,5222.35,"No",TRUE
"5374","Male","No","Yes","No",71,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",105.25,7291.75,"No",TRUE
"5375","Female","No","No","No",10,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.75,799.65,"Yes",TRUE
"5376","Female","No","No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",50.8,50.8,"Yes",TRUE
"5378","Male","No","No","No",4,"Yes","No","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",61.3,249.4,"No",FALSE
"5379","Female","No","Yes","Yes",58,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",75.8,4415.75,"No",TRUE
"5380","Female","No","Yes","No",56,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Electronic check",98,5270.6,"No",TRUE
"5381","Male","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.25,144.55,"Yes",TRUE
"5382","Male","No","Yes","No",32,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.9,2447.95,"Yes",TRUE
"5383","Male","No","Yes","Yes",56,"No","No","DSL","Yes","Yes","No","Yes","Yes","No","One year","Yes","Mailed check",52,2884.9,"No",FALSE
"5384","Male","No","No","No",36,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.75,3050.15,"Yes",TRUE
"5385","Female","No","No","No",4,"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",64.4,253,"No",TRUE
"5386","Male","No","No","No",53,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",85.45,4517.25,"Yes",TRUE
"5387","Male","No","No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",45.8,436.2,"No",TRUE
"5388","Male","No","No","No",4,"No","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",30.5,118.4,"No",TRUE
"5390","Female","No","Yes","No",51,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",69.15,3649.6,"No",TRUE
"5391","Male","Yes","No","No",12,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.45,1200.15,"Yes",TRUE
"5392","Female","No","No","No",6,"No","No","DSL","No","No","No","Yes","Yes","Yes","One year","Yes","Mailed check",49.25,255.6,"No",TRUE
"5393","Male","No","Yes","Yes",63,"No","No","DSL","No","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)",39.35,2395.05,"No",TRUE
"5394","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.6,70.6,"Yes",TRUE
"5395","Female","No","Yes","No",48,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.1,5083.55,"No",TRUE
"5396","Female","No","No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",81,389.6,"Yes",TRUE
"5398","Male","No","No","No",6,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.85,523.5,"Yes",TRUE
"5401","Female","No","No","No",33,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.4,2406.1,"No",TRUE
"5404","Female","No","Yes","Yes",54,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",86.2,4524.05,"No",TRUE
"5405","Female","No","No","No",46,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",95.65,4664.2,"No",TRUE
"5406","Male","No","No","Yes",34,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",103.8,3470.8,"No",TRUE
"5407","Male","No","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Two year","Yes","Electronic check",97.2,6910.3,"No",TRUE
"5408","Female","No","Yes","Yes",63,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",63.55,4014.2,"No",TRUE
"5410","Female","Yes","No","No",26,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",89.15,2277.65,"Yes",TRUE
"5411","Female","No","Yes","No",64,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",99,6375.8,"No",TRUE
"5412","Female","Yes","Yes","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,24.8,"Yes",TRUE
"5413","Male","Yes","Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",85.55,5251.75,"No",TRUE
"5414","Female","No","No","No",15,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94,1505.45,"No",TRUE
"5415","Male","No","No","No",64,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.65,6903.1,"Yes",FALSE
"5416","Female","No","No","No",18,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",50.3,913.3,"No",TRUE
"5417","Female","No","Yes","Yes",57,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",95,5535.8,"No",TRUE
"5418","Male","No","Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","No","No","Yes","Two year","Yes","Bank transfer (automatic)",61.4,815.55,"No",TRUE
"5419","Male","Yes","No","No",18,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.55,1411.65,"No",TRUE
"5420","Female","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",78.5,5602.25,"No",TRUE
"5421","Male","No","Yes","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",114.3,8244.3,"No",TRUE
"5423","Male","No","Yes","Yes",68,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",62.65,4375.8,"No",TRUE
"5424","Male","No","No","No",13,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.85,1008.7,"Yes",TRUE
"5425","Male","Yes","Yes","No",65,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",92.7,5968.4,"No",TRUE
"5426","Female","No","No","No",30,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",100.45,3096.9,"No",TRUE
"5427","Male","No","Yes","No",51,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",75.2,3901.25,"No",TRUE
"5428","Female","No","No","No",31,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",84.75,2613.4,"No",TRUE
"5429","Female","No","Yes","No",9,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",89.45,853.1,"Yes",TRUE
"5430","Female","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",79.5,5661.7,"No",TRUE
"5431","Male","No","No","No",10,"Yes","Yes","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",72.15,794.25,"Yes",TRUE
"5433","Female","No","No","No",2,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","No","Electronic check",76.4,160.8,"Yes",TRUE
"5434","Male","No","No","No",55,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Mailed check",100.9,5552.05,"No",TRUE
"5435","Male","No","No","Yes",33,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.3,3275.15,"No",FALSE
"5436","Female","No","Yes","Yes",46,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","One year","No","Bank transfer (automatic)",90.95,4236.6,"No",TRUE
"5437","Female","No","No","Yes",1,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check",54.5,54.5,"No",TRUE
"5438","Female","Yes","No","No",20,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",61.6,1174.35,"Yes",FALSE
"5439","Male","No","Yes","No",9,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.9,741.7,"Yes",TRUE
"5440","Male","Yes","No","No",32,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",96.15,3019.25,"Yes",TRUE
"5441","Female","No","Yes","Yes",19,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.6,962.9,"No",TRUE
"5442","Female","No","Yes","No",70,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Credit card (automatic)",65.3,4759.75,"Yes",TRUE
"5444","Male","No","No","No",26,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.45,1233.15,"No",TRUE
"5445","Male","No","Yes","No",45,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",107.75,4882.8,"No",TRUE
"5446","Male","No","Yes","Yes",62,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Two year","Yes","Credit card (automatic)",89.1,5411.65,"No",TRUE
"5448","Female","No","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.75,148.05,"No",TRUE
"5449","Female","No","Yes","Yes",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Bank transfer (automatic)",101.6,3930.55,"No",TRUE
"5450","Male","No","Yes","Yes",67,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",103.15,6895.5,"No",TRUE
"5451","Male","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",84.65,84.65,"Yes",TRUE
"5452","Female","No","Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","One year","No","Mailed check",95.65,6856.95,"No",FALSE
"5453","Female","No","Yes","Yes",37,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","One year","No","Bank transfer (automatic)",75.1,2658.8,"No",TRUE
"5454","Male","No","Yes","No",60,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Mailed check",61.35,3766.2,"No",FALSE
